"","Scenario","Method","sub1","sub2","sub3","sub4","SampleSize"
"1",1,"BHM",10,10,10,10,141.9
"2",1,"GCBHM_L",10,10,10,10,154.5
"3",1,"GCBHM_M",9.9,10,10,10,150.6
"4",2,"BHM",99.9,99.8,99.9,99.9,180
"5",2,"GCBHM_L",92.4,92.8,92.2,91.7,179.5
"6",2,"GCBHM_M",93.7,92.9,93.3,93.7,179.3
"7",3,"BHM",99.8,99.7,99.8,99.9,180
"8",3,"GCBHM_L",90.8,90.7,90,90.4,178.8
"9",3,"GCBHM_M",91.9,91.5,91.3,92.5,178.9
"10",4,"BHM",89.8,98.9,99.9,100,180
"11",4,"GCBHM_L",74.4,91.8,99.1,100,179.5
"12",4,"GCBHM_M",64.1,90.6,99.2,100,178.6
"13",5,"BHM",60,57.8,93.1,93.7,177.7
"14",5,"GCBHM_L",13.4,13.6,86.8,87.6,171.6
"15",5,"GCBHM_M",12.9,13,90.6,90.9,169.6
"16",6,"BHM",79.4,99,99,99.1,179.7
"17",6,"GCBHM_L",17.7,90.5,89.4,89.2,175.8
"18",6,"GCBHM_M",17.1,91.2,91.1,91.8,174.8
"19",7,"BHM",41.3,40.8,99.7,99.7,178.7
"20",7,"GCBHM_L",14.7,13.8,99.2,99.1,173
"21",7,"GCBHM_M",9.7,10.2,99.4,99.5,168.9
"22",8,"BHM",56,53.9,74,85.9,175.7
"23",8,"GCBHM_L",13.3,12.7,64.9,86.6,170.8
"24",8,"GCBHM_M",13.4,13.2,65.7,90.5,169
