"","Scenario","Method","sub1","sub2","sub3","sub4","SampleSize"
"1",1,"BHM_IG",10,10,10,10,120.7
"2",1,"CBHM_E",10,10,10,10,144
"3",1,"CBHM_ET",10,10,10,10,129.8
"4",1,"GCBHM_L",10,10,10,10,123.9
"5",2,"BHM_IG",76.1,77.4,77.5,77.3,167
"6",2,"CBHM_E",31.9,32.3,31.4,32.3,164
"7",2,"CBHM_ET",50.5,50.5,52.6,50,161.3
"8",2,"GCBHM_L",51.8,53.7,54.7,54.2,161.8
"9",3,"BHM_IG",99.1,99,99,98.9,179.5
"10",3,"CBHM_E",80.7,82.6,82.3,81.3,178.4
"11",3,"CBHM_ET",82.8,82.4,84.1,82.3,175.9
"12",3,"GCBHM_L",82.2,83.6,84.6,84.4,175.4
"13",4,"BHM_IG",79.8,79.3,76.8,71,167.6
"14",4,"CBHM_E",31.9,32.8,31.2,31.9,163.9
"15",4,"CBHM_ET",56.8,56.2,52.7,37.2,161
"16",4,"GCBHM_L",59,59.3,53.5,38.9,161.7
"17",5,"BHM_IG",77.2,82.7,85.4,86.9,173.7
"18",5,"CBHM_E",31.7,56,79.4,93.3,175.1
"19",5,"CBHM_ET",35.9,50.1,62.6,63.8,167.4
"20",5,"GCBHM_L",39.4,54.6,64.4,67.4,164.5
"21",6,"BHM_IG",61.5,96.6,96.8,97,176.7
"22",6,"CBHM_E",15.7,78.7,79.3,77.9,173
"23",6,"CBHM_ET",11.5,81.5,83.2,81.5,166.7
"24",6,"GCBHM_L",12,83.4,85.3,84.5,166.3
"25",7,"BHM_IG",44.3,45.4,91.1,91.2,169.4
"26",7,"CBHM_E",12.3,12.5,76.3,76.6,166.1
"27",7,"CBHM_ET",10.8,11,82.4,81,157.1
"28",7,"GCBHM_L",12.2,13.5,81.6,83.1,155.8
"29",8,"BHM_IG",40.8,41.8,71.8,84.4,163.4
"30",8,"CBHM_E",12.6,13.1,51.3,75.8,164.6
"31",8,"CBHM_ET",11.4,11.2,51.9,80.4,154.2
"32",8,"GCBHM_L",11.6,13.1,53.2,80,151.1
"33",9,"BHM_IG",29.6,29.3,30,74.4,151.9
"34",9,"CBHM_E",11,11,10.8,73.7,158.5
"35",9,"CBHM_ET",10.7,10.9,10.9,78.7,145.5
"36",9,"GCBHM_L",10,11.3,11.8,78.1,142.5
